,token,cosine
0,slavo,0.7605055369856097
1,tho,0.724611560576782
2,it,0.7172729392458262
3,nnd,0.7150278490493782
4,the,0.7028796472488371
5,not,0.7013585729383899
6,one,0.6978162041204561
7,man,0.6932662426247744
8,ho,0.6923495189140945
9,law,0.6880225211449262
10,in,0.6866662682759674
11,take,0.6866445069702203
12,would,0.6860965536587789
13,iu,0.6810794361863233
14,lo,0.6805615935531885
15,free,0.6804548660311394
16,fugitive,0.6691925492622317
17,bis,0.6646667505736005
18,slaveholder,0.6643869748547782
19,say,0.6641009109224223
20,give,0.6629596019801092
21,owner,0.6594305316177383
22,they,0.6570832811658721
23,ot,0.6567715409934842
24,and,0.6566591860874971
25,slavery,0.6562358999808267
26,go,0.6562106152048865
27,fur,0.6561584061842647
28,another,0.6557894893468754
29,he,0.6556693830976656
30,ol,0.6556285397534818
31,shall,0.6555876225828381
32,two,0.6513746372844345
33,state,0.651170164002941
34,bo,0.6467924959887146
35,negro,0.6464713365635829
36,make,0.6452521095057423
37,if,0.6448299175983426
38,lor,0.6445887582176324
39,right,0.6429030647882896
40,find,0.642222466503727
41,hold,0.6415810505755813
42,lave,0.6409015738179471
43,every,0.6395575815149714
44,upon,0.6361391088939896
45,escape,0.6333156726326896
46,bring,0.6331350386465731
47,person,0.632860251629289
48,south,0.6321228870851534
49,property,0.6316380873689531
50,thus,0.6303628598472161
51,as,0.6277466047884891
52,lie,0.627348498713512
53,land,0.6265229939211416
54,enslave,0.6255516182129411
55,case,0.6251700577498029
56,master,0.6247579893609163
57,come,0.6239548637978534
58,without,0.6226663252303559
59,may,0.6224237108690573
60,will,0.6222436482998809
61,know,0.621890736633651
62,live,0.6206842341604472
63,see,0.6178318719492584
64,even,0.6177228086137758
65,there,0.6169998834019929
66,we,0.6156632759464078
67,time,0.6152066419737934
68,become,0.6148707481409876
69,ing,0.6137660091476111
70,ihe,0.6136540243920501
71,day,0.6134998412227907
72,people,0.6126999826593142
73,tlio,0.6102387207667841
74,tbe,0.6098704634011802
75,woman,0.6089899524953266
76,this,0.6089480913921614
77,be,0.6085399769214919
78,uf,0.6074304716338967
79,nn,0.6051364276752296
80,trade,0.6046762487658339
81,ami,0.6025889686302095
82,claim,0.6025021267121228
83,leave,0.6015400058333736
84,ono,0.6008165652777075
85,und,0.6003352688682058
86,ns,0.5970837178745398
87,act,0.5961327093448473
88,aid,0.5959726763354035
89,to,0.5955101937809376
90,that,0.5952773741565143
91,united,0.5950591274244714
92,freedom,0.5945556318737748
93,slate,0.5945283891027291
94,but,0.5943750170494351
95,declare,0.5929622547546913
96,virginia,0.5913347458269838
